id;lat;lon
238;48.8507276;2.294363
239;48.8465172;2.2871413
240;48.8423097;2.2854934
241;48.8428158;2.2914147
242;48.8442222;2.2935652
243;48.8447717;2.2910213
244;48.842863;2.2938087
245;48.8393757;2.2838781
246;48.8442139;2.2868239
247;48.8458193;2.2846695
248;48.853681;2.3103697
249;48.8600996;2.2989857
250;48.8558567;2.3067922
251;48.84673225;2.317294694327537
252;48.8540234;2.3055622
253;48.853043;2.3250028
254;48.8581902;2.3236202
255;48.8584355;2.2984769
256;48.8476629;2.3174539
257;48.8562151;2.3238264
258;48.8799928;2.3014649
259;48.8496702;2.3188579
260;48.8594826;2.3065868
261;48.8531784;2.3236611
262;48.8610672;2.3109751
263;48.8582298;2.2979608
264;48.8470858;2.309079
265;48.8489409;2.3133137
266;48.8457289;2.3219402
267;48.8456639;2.3217906
268;48.8519438;2.324898
269;48.8477145;2.3090864
270;48.8471541;2.3200306
271;48.8608616;2.3183886
272;48.8474552;2.3185545
273;48.8566326;2.3153397
274;48.8570789;2.307005
275;48.8477837;2.3067202
276;48.8472662;2.3067654
277;48.8599613;2.3026891
278;48.8521148;2.309102
279;48.8518451;2.3245999
280;48.8595533;2.3192587
281;48.8513557;2.3140925
282;48.8474977;2.305132
283;48.8525437;2.3250345
284;48.8612041;2.3085786
285;48.8578654;2.3074783
286;48.8476376;2.3078535
287;48.8471966;2.3210905
288;48.8466585;2.3077134
289;48.8612095;2.3057481
290;48.854042;2.326314
291;48.849121;2.3183556
292;48.8579456;2.3070273
293;48.8594215;2.2976204
294;48.8538616;2.3083241
295;48.8502974;2.3165995
296;48.8503837;2.3186325
297;48.8550048;2.3280408
298;48.8548462;2.3296311
299;48.8563345;2.3028912
300;48.851572;2.3098774
301;48.8558374;2.308166
302;48.846687;2.3109503
303;48.8477909;2.3190477
304;48.8580041;2.3056873
305;48.8563835;2.3250996
306;48.8491309;2.3191686
307;48.8515374;2.3018648
308;48.8470273;2.3138479
309;48.8488294;2.3193792
310;48.8476614;2.3128668
311;48.846696;2.3170317
312;48.8596172;2.3033689
313;48.8487356;2.3185688
314;48.8579835;2.3238627
315;48.8606724;2.3213268
316;48.8489005;2.3033815
317;48.847394;2.3231246
318;48.8504011;2.3190605
319;48.8499056;2.3179215
320;48.8588768;2.298554
321;48.8487897;2.3032244
322;48.8528282;2.3262483
323;48.8487371;2.3031474
324;48.8483211;2.3187979
325;48.8552712;2.3066799
326;48.8596486;2.3185631
327;48.8551459;2.3064958
328;48.8579227;2.3294689
329;48.8558512;2.303464
330;48.8550803;2.3063792
331;48.85139;2.3109552
332;48.8466138;2.3067306
333;48.8541292;2.323113
334;48.8562459;2.309427
335;48.8523502;2.3261035
336;48.8552879;2.3264674
337;48.8482075;2.3087142
338;48.848714;2.304037
339;48.8504997;2.3190503
340;48.8582787;2.300613
341;48.8588672;2.3102538
342;48.8522162;2.3264244
343;48.851572;2.3098774
344;48.8577325;2.3042701
345;48.8567658;2.3173129
346;48.8502349;2.3088657
347;48.8565778;2.3007835
348;48.8553921;2.3259229
349;48.8616621;2.3046632
350;48.8523851;2.3278989
351;48.8618994;2.3093962
352;48.8478186;2.310399
353;48.8589357;2.309833
354;48.8580095;2.3273281
355;48.8584959;2.3275566
356;48.849804;2.3084169
357;48.8545052;2.3215913
358;48.8563439;2.301931
359;48.8562753;2.3170116
360;48.8485075;2.3122527
361;48.8541423;2.3090442
362;48.8546824;2.314553
363;48.858533;2.3241725
364;48.8461971;2.313698
365;48.8478397;2.3163044
366;48.8550052;2.3050658
367;48.8473812;2.3165576
368;48.8556187;2.3251342
