id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
459;;[];;;;;;;14:30-18:30(R);;15:30-18:30(R);10:30-12:00(R);;;15:30-18:30(R);10:45-14:00(R);14:00-18:30(R)
460;;[];;;;;;;;;;;;;;;
461;;[];;;;;;;;;;;;;;;
462;;[];;;;PVM1;;10:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R)
463;;[];;;;;;08:45-14:00(R);14:00-18:00(R);08:45-14:00(R);14:00-18:00(R);08:45-14:00(R);14:00-18:00(R);08:45-14:00(R);14:00-18:00(R);08:45-14:00(R);14:00-18:00(R)
464;;[];;;;PVM1;;;;;;;;;;;
465;;[];;;;PVM1;;09:00-14:00(R);14:00-15:00(R);;14:00-18:00(R);09:00-14:00(R);;12:00-14:00(R);14:00-19:00(R);;
466;;[];;;;;;;;;;;;;;;
467;;[];;;;;;;;;;;;;;;
468;;[];;;;;;;;;;;;;;;
469;;[];;;;;;;;;;;;;;;
470;;[];;;;PVM1;;;;;;;;;;;
471;;[];;;;;;;;;;;;;;;
472;;[];;;;;;;;;;;;;;;
473;;[];;;;PVM1;;09:00-14:00(?);14:00-19:00(?);09:00-14:00(?);14:00-19:00(?);09:00-14:00(?);14:00-19:00(?);09:00-14:00(?);14:00-19:00(?);;
474;;[];;;;;;;;;;;;;;;
475;;[];;;;;;;;;;;;;;;
476;;[];;;;PVM1;;;;;;;;;;;
477;;[];;;;PVM1;;;;;;;;;;;
478;;[];;;;;;;14:00-16:00(R);08:00-14:00(R);14:00-20:00(R);09:30-14:00(R);;08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R)
479;2023-10-24 13:30:00;[Timestamp('2023-10-24 13:30:00')];;;;;;;;;;;;;;;
480;;[];;;;;;;;;;;;;;;
481;2023-07-03 14:00:00;[Timestamp('2023-07-03 14:00:00')];;;NRP?;;;;;;;;;;;;
482;;[];;;;PVM1;;;;;;;;;;;
483;;[];;;;;;;;;;;;;;;
484;2023-10-19 13:30:00;[Timestamp('2023-10-19 13:30:00')];;;;PVM1;;;;;;;;;;;
485;;[];;;;;;;;;;;;;;;
486;2023-09-22 15:50:00;[Timestamp('2023-09-22 15:50:00')];;;;;;;;;;;;;;;
487;;[];;;;;;;;;;;;;;;
488;;[];;;;;;09:30-14:00(R);14:00-17:00(R);09:30-14:00(R);14:00-17:00(R);09:30-14:00(R);14:00-17:00(R);09:30-14:00(R);14:00-17:00(R);09:30-14:00(R);14:00-17:00(R)
489;;[];;;;;;;;;;;;;;;
490;;[];;;;;;;;;;;;;;;
491;;[];;;;;;;;;;;;;;;
492;;[];;;;PVM1;;;;;;;;;;;
493;;[];;;;PVM1;;;;;;;;;;;
494;;[];;;;PVM1;;;;;;;;;;;
495;;[];;;;PVM1;;;;;;;;;;;
496;;[];;;;PVM1;;;;;;;;;;;
497;;[];;;NÉONAT;;;;;;;;;;;;
498;;[];;;;;;;;;;;;;;;
499;;[];;;;;;;;;;;;;;;
500;;[];;;;;;;;;;;;;;;
501;;[];;;;;;;;;;;;;;;
502;2023-11-28 10:00:00;[Timestamp('2023-11-28 10:00:00')];;L;;;;;;;;;;;;;
503;;[];;;;;;;;;;;;;;;
504;2023-07-12 14:00:00;[Timestamp('2023-07-12 14:00:00')];;;;PVM1;;09:00-12:00(R);14:30-18:00(R);08:40-12:00(R);14:30-18:00(R);08:40-12:00(R);14:30-18:00(R);;14:00-18:00(R);09:00-12:00(R);
505;2023-11-06 16:30:00;[Timestamp('2023-11-06 16:30:00')];;;;;;;;;;;;;;;
506;;[];;;;;;;;;;;;;;;
507;;[];;RDV;235A;;;;;;;;;;;;
508;;[];;;;;;;;;;;;;;;
509;;[];;;;PVM1;;;;;;;;;;;
510;;[];;;;PVM1/NV22;;09:00-13:00(R);;08:00-12:00(R);;;;08:00-14:00(R);14:00-19:00(R);;
511;;[];;;;;;;;;;;;;;;
512;;[];;;;PVM1;;;;;;;;;;;
513;;[];;;;;;;;;;;;;;;
514;;[];;RDV;;OUI;;;;;;;;;;;
515;;[];;;;;;;;;;;;;;;
516;;[];;;;;;;;;;;;;;;
517;;[];;;;;;;;;;;;;;;
518;2023-11-13 12:30:00;[Timestamp('2023-11-13 12:30:00')];;;;;;;;;;;;;;;
519;;[];;;;;;09:15-14:00(R);14:00-18:00(R);;;09:15-14:00(R);14:00-19:00(R);;;09:15-13:00(R);
520;;[];;;;;;;;;;;;;;;
521;;[];;;;;;;;;;;;;;;
522;;[];;;;;;;;;;;;;;;
523;;[];;;;;;;;;;;;;;;
524;;[];;;;;;;;;;;;;;;
525;2023-12-07 12:30:00;[Timestamp('2023-12-07 12:30:00'), Timestamp('2023-10-26 11:30:00')];;RDV;;;;09:30-11:30(R);15:00-19:00(R);;;;;11:00-12:00(R);14:30-19:00(R);09:00-11:30(R);18:00-19:00(R)
526;2023-07-13 14:00:00;[Timestamp('2023-07-13 14:00:00')];;;;;;;14:00-19:00(R);;14:00-19:00(R);;;;14:00-19:00(R);;14:00-19:00(R)
527;;[];;;;PVM1;;;;;;;;;;;
528;;[];;RDV;;;;;;;;;;;;;
529;;[];;;;PVM1;;;;;;;;;;;
530;2023-09-07 15:30:00;[Timestamp('2023-09-07 15:30:00'), Timestamp('2023-07-26 09:00:00')];;;;PVM1;;;;;13-17;8-12;;;;;
531;;[];;;;;;;;;;;;;;;
532;2024-01-30 16:00:00;[Timestamp('2024-01-30 16:00:00')];;;;;;09:30-14:00(R);14:00-18:30(R);09:30-14:00(R);14:00-18:30(R);09:30-14:00(R);14:00-18:30(R);09:30-14:00(R);14:00-18:30(R);09:30-14:00(R);14:00-18:30(R)
533;;[];;;;PVM1;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-13:00(R);;09:00-14:00(R);14:00-19:00(R)
534;;[];;;;;;;;;;;;;;;
535;;[];;;;;;;;;;;;;;;
536;;[];;;;;;;;;;;;;;;
537;;[];;;APP AM;PVM1/NV22;;;;;;;;;;;
538;;[];;;;;;;;;;;;;;;
539;;[];;;;;;;;;;;;;;;
540;;[];;;;;;;;;14:00-19:30(R);;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:30(R)
541;;[];;;;;;;;;;;;;;;
542;;[];;;;;;09:00-14:00(?);14:00-19:00(?);09:00-14:00(?);14:00-19:00(?);;;09:00-14:00(?);14:00-19:00(?);09:00-14:00(?);14:00-19:00(?)
543;;[];;;;;;09:00-13:00(R);;;;;14:00-20:00(R);;14:00-20:00(R);09:00-13:00(R);
544;;[];;;;;;;;;;;;;;;
545;;[];;;;;;;;;;;;;;;
546;2023-11-06 12:30:00;[Timestamp('2023-11-06 12:30:00')];;;;;;;;;;;;;;;
547;;[];;;;PVM1;;;;;;;;;;;
548;;[];;;;;;;;;;;;;;;
549;;[];;;;PVM1;;;;;;;;;;;
550;;[];;;;PVM1;;;;;;;;;;;
551;;[];;;;PVM1;;;;;;;;;;;
552;;[];;;;;;;;;;;;;;;
553;;[];;;;;;;;;;;;;;;
554;;[];;;;PVM1;;;;;;;;;;;
555;;[];;;;PVM1;;;;;;;;;;;
556;;[];;;;;;;;;;;;;;;
557;;[];;;;PVM1;;;;;;;;;;;
558;2023-11-20 00:00:00;[];;;;PVM1;;;;;;;;;;;
559;2023-10-27 16:00:00;[Timestamp('2023-10-27 16:00:00')];;;;;;;;;;;;;;;
560;;[];;;;;;09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-19:00(R);08:30-14:00(R);;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-17:00(R)
561;;[];;;;PVM1;;;;;;;;;;;
562;;[];;;;;;;;;;;;;;;
563;;[];;;;;;;;;;;;;;;
564;;[];;;;;;07:45-14:00(R);14:00-20:00(R);07:45-14:00(R);14:00-20:00(R);07:45-14:00(R);14:00-20:00(R);07:45-12:00(R);;07:45-14:00(R);14:00-20:00(R)
565;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
566;;[];;;;PVM1;;;;;;;;;;;
567;;[];;;;;;;;;;;;;;;
568;;[];;;;;;;;;;;;;;;
569;;[];;;;;;;;;;;;;;;
570;;[];;;;PVM1;;;;;;;;;;;
571;;[];;;;PVM1;;;;;;;;;;;
572;;[];;HC;ÉSTHÉTIQUE ++;;;;;;;;;;;;
573;;[];;;;;;;;;;;;;;;
574;;[];;;;;;;;;;;;;;;
575;;[];;;;PVM1;;;;;;;;;;;
576;;[];;;;PVM1;;;;;;;;;;;
577;;[];;;;;;07:00-14:00(R);14:00-16:00(R);10:00-14:00(R);14:00-22:00(R);08:00-14:00(R);14:00-15:00(R);13:00-14:00(R);14:00-20:00(R);07:00-14:00(R);14:00-15:00(R)
578;;[];;;;;;;;;;;;;;;
579;;[];;;;PVM1;;;;;;;;;;;
580;;[];;;;;;08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R);08:00-14:00(R);14:00-20:00(R)
581;;[];;;;;;;;;;;;;;;
582;;[];;;;;;;14:00-18:00(R);09:30-12:30(R);;09:30-12:30(R);;;14:00-18:00(R);09:30-12:30(R);14:00-17:00(R)
583;;[];;;;;;;;;;;;;;;
584;2024-01-17 10:00:00;[Timestamp('2024-01-17 10:00:00')];;;;;;;;;;;;;;;
585;;[];True;;;;;09:30-12:30(D);14:00-20:00(R);09:30-12:30(D);14:00-20:00(R);09:30-12:30(D);14:00-20:00(R);09:30-12:00(D);14:00-20:00(R);10:00-12:00(D);14:00-20:00(R)
586;;[];;;;;;;;;;;;;;;
587;;[];;;;;;08:30-12:30(D);14:00-20:15(R);08:30-12:30(D);14:00-20:15(R);08:30-12:30(D);14:00-20:15(R);09:00-11:30(R);14:00-20:15(R);08:30-12:30(D);14:30-20:15(R)
588;;[];;;;PVM1;;;;;;;;;;;
589;;[];;;;;;;;;;;;;;;
590;2023-10-06 00:00:00;[];;;;;;;;;;;;;;;
591;;[];;;;;;;;;;;;;;;
592;;[];;;;;;;;;;;;;;;
593;;[];;;;;;;;;;;;;;;
594;2024-02-05 10:30:00;[Timestamp('2024-02-05 10:30:00')];;;;PVM1/NV22;;;;;;;;;;;
595;2023-12-19 16:30:00;[Timestamp('2023-12-19 16:30:00'), Timestamp('2023-08-28 10:00:00')];;;;;;;;;;;;;;;
596;;[];;;;;;09:00-13:20(R);;09:00-12:00(D);14:00-20:00(R);09:00-13:20(R);;"09:00-11:00(D)
11:00-14:00(R)";14:00-17:00(R);09:00-12:00(D);14:00-20:00(R)
597;;[];;;;PVM1;;09:30-14:00(R);14:00-19:00(R);09:30-14:00(R);14:00-19:00(R);;;09:30-14:00(R);14:00-19:00(R);09:30-14:00(R);14:00-19:00(R)
598;;[];;;;;;;;;;;;;;;
599;;[];;;;;;;;;;;;;;;
600;2023-06-30 11:00:00;[Timestamp('2023-06-30 11:00:00')];;RDV;;;;;;;;;;;;;
601;2024-01-11 10:00:00;[Timestamp('2024-01-11 10:00:00')];True;;;OUI;;;;;;;;;;;
602;;[];;;;;;;;;;;;;;;
603;;[];;HC;ACU ++;;;;;11:00-14:00(R);14:00-20:00(R);;;11:00-14:00(R);14:00-20:00(R);;
604;;[];;;;PVM1;;;;;;;;;;;
605;;[];;;;;;;;;;;;;;;
606;2024-01-28 09:00:00;[Timestamp('2024-01-28 09:00:00'), Timestamp('2023-09-27 14:45:00')];;;;PVM1;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
607;;[];;;;PVM1;;11:00-13:00(R);"14:00-16:00(D)
16:00-19:00(R)";11:00-13:00(R);"14:00-16:00(D)
16:00-19:00(R)";11:00-13:00(R);"14:00-16:00(D)
16:00-19:00(R)";11:00-13:00(R);"14:00-16:00(D)
16:00-19:00(R)";11:00-13:00(R);"14:00-16:00(D)
16:00-19:00(R)"
608;;[];;;;;;08:30-14:00(R);14:00-18:30(R);10:00-14:00(R);14:00-18:30(R);11:00-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:30(R);09:30-14:00(R);14:00-17:30(R)
609;;[];;;;;;09:30-14:00(R);14:00-19:00(R);09:30-14:00(R);14:00-19:00(R);;14:00-19:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-19:00(R)
610;2023-12-20 16:30:00;[Timestamp('2023-12-20 16:30:00'), Timestamp('2023-08-28 10:00:00')];;;;PVM1;;;;;;;;;;;
611;2023-11-17 09:30:00;[Timestamp('2023-11-17 09:30:00')];;;;;;09:45-12:00(R);15:00-18:30(R);09:45-12:00(R);15:00-18:30(R);;14:00-17:45(R);09:40-12:00(R);15:00-18:30(R);09:45-12:00(R);15:00-18:30(R)
612;;[];;;;;;;;;;;;;;;
613;2023-11-28 00:00:00;[];;L;;;;08:30-13:00(R);;08:30-13:00(R);;;;;14:00-19:00(R);;14:00-19:00(R)
614;2024-02-16 16:00:00;[Timestamp('2024-02-16 16:00:00')];;;;;;;;;;;;;;;
615;;[];;;;;;;;;;;;;;;
616;2023-11-27 09:30:00;[Timestamp('2023-11-27 09:30:00')];;;;;;;;;;;;;;;
617;;[];;;;PVM1;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
618;;[];;;;;;;;;;;;;;;
619;;[];;;;;;09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);;09:00-14:00(R);14:00-20:00(R);09:00-13:00(R);
620;;[];;;;;;;;;;;;;;;
621;;[];;;;;;;;;;;;;;;
622;2023-12-21 16:00:00;[Timestamp('2023-12-21 16:00:00'), Timestamp('2023-08-28 10:00:00')];;;;;;;;;;;;;;;
623;;[];;;;;;09:30-11:30(R);14:30-19:00(R);10:30-12:00(R);14:30-19:00(R);;16:30-19:00(R);09:30-11:30(R);14:30-19:00(R);09:30-11:30(R);14:30-19:00(R)
624;2023-09-19 13:45:00;[Timestamp('2023-09-19 13:45:00')];;;;PVM1;;;;;;;;;;;
625;;[];;;;;;;;09:00-13:00(R);;;;09:00-12:30(R);14:00-19:00(R);;
626;;[];;;;PVM1;;;;;;;;;;;
627;;[];;;;PVM1;;;;;;;;;;;
628;;[];;;;;;09:00-14:00(D);14:00-20:30(R);09:00-14:00(D);14:00-20:30(R);09:00-14:00(D);14:00-20:30(R);09:00-14:00(D);14:00-20:30(R);09:00-14:00(D);14:00-20:30(R)
629;;[];;;;;;;;;;;;;;;
630;;[];;;;PVM1;;;;;;;;;;;
631;;[];;;;;;;;;;;;;;;
632;;[];;;;PVM1;;09:00-12:30(R);14:00-18:15(R);09:00-12:30(R);14:00-18:15(R);09:00-14:00(R);;09:00-12:30(R);14:00-18:15(R);09:00-12:30(R);14:00-18:15(R)
633;;[];;;;;;;;;;;;;;;
634;;[];;;;PVM1/NV22;;10:00-13:00(R);15:30-18:30(R);10:00-13:00(R);15:30-18:30(R);10:00-13:00(R);15:30-18:30(R);10:00-13:00(R);15:30-18:30(R);;
635;2023-11-13 14:00:00;[Timestamp('2023-11-13 14:00:00')];;;;;;;;;;;;;;;
636;;[];;;;;;08:30-14:00(R);14:00-19:00(R);13:00-14:00(R);14:00-20:30(R);08:30-14:00(R);14:00-20:30(R);13:00-14:00(R);14:00-20:30(R);08:30-14:00(R);
637;2023-10-02 00:00:00;[];;;;PVM1;;;;;;;;;;;
638;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-18:00(R)
639;;[];;;;;;;;;;;;;;;
640;2024-02-20 14:30:00;[Timestamp('2024-02-20 14:30:00')];;;;;;;;;;;;;;;
641;;[];;;;PVM1;;;;;;;;;;;
642;2023-12-19 11:00:00;[Timestamp('2023-12-19 11:00:00')];;;;;;08:00-12:00(?);14:00-18:00(?);08:45-13:00(?);19:00-21:00(?);08:00-12:00(?);14:00-18:00(?);08:45-14:00(?);"14:00-16:00(?)
20:00-21:30(?)";"08:00-11:00(?)
13:45-14:00(?)";14:00-18:00(?)
643;;[];;;;;;;;;;;;;;;
644;;[];;;;;;;;;;;;;;;
645;;[];;;;PVM1;;09:30-14:00(R);14:00-20:30(R);09:30-14:00(R);14:00-20:30(R);;;09:30-14:00(R);14:00-20:30(R);09:30-14:00(R);14:00-20:30(R)
646;;[];;;;;;;;;;;;;;;
647;;[];;;;;;;;;;;;;;;
648;2023-11-13 16:00:00;[Timestamp('2023-11-13 16:00:00')];;;;;;;;;;;;;;;
649;;[];;;;;;;;;;;;;;;
650;;[];;;;;;;;;;;;;;;
651;;[];;;;;;;;;;;;;;;
652;;[];;;;;;;;;;;;;;;
653;;[];;;;PVM1;;08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R);08:30-11:00(R);;08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R)
654;;[];;;;;;;;;;;;;;;
655;;[];;;;;;;;;;;;;;;
656;;[];;;;;;;;;;;;;;;
657;;[];;;;;;;;;;;;;;;
658;2023-12-22 09:45:00;[Timestamp('2023-12-22 09:45:00'), Timestamp('2023-09-01 13:45:00')];;;;;;;;;;;;;;;
659;;[];;;;;;;;;;;;;;;
660;;[];;;;;;;;;;;;;;;
661;;[];;;;;;;;;;;;;;;
662;;[];;;;;;;;;;;;;;;
663;;[];;;;;;;;;;;;;;;
664;;[];;;;PVM1;;;;;;;;;;;
665;;[];;;;;;;;;;;;;;;
666;;[];;;;;;;;;;;;;;;
667;;[];;;;;;;;;;;;;;;
668;;[];;;;PVM1;;;;;;;;;;;
669;;[];;;;OUI;;;;;;;;;;;
670;2023-11-10 10:00:00;[Timestamp('2023-11-10 10:00:00')];;;;;;;;;;;;;;;
671;;[];;;;;;;;;;;;;;;
672;;[];;;;;;;;;;;;;;;
673;;[];;;;;;;;;;;;;;; 
674;2023-11-21 10:00:00;[Timestamp('2023-11-21 10:00:00')];;;COSEM + 75PER;;;;;;;;;;;;
675;;[];;;;;;;;;;;;;;;
676;2023-11-21 10:00:00;[Timestamp('2023-11-21 10:00:00')];;;COSEM + 75PER;;;;;;;;;;;;
677;2023-11-28 15:30:00;[Timestamp('2023-11-28 15:30:00')];;;;PVM1;;;;;;;;;;;
678;;[];;;;;;;;;;;;;;;
679;2024-02-23 09:00:00;[Timestamp('2024-02-23 09:00:00')];;;;;;;;;;;;;;;
680;;[];;;;PVM1;;;;;;;;;;;
681;;[];;;;;;;;;;;;;;;
682;;[];;;;;;;;;;;;;;;
683;2024-02-22 12:30:00;[Timestamp('2024-02-22 12:30:00')];;;;;;;;;;;;;;;
684;;[];;;;;;;;;;;;;;;
685;;[];;;;;;;;;;;;;;;
686;;[];;;;;;;;;;;;;;;
687;;[];;;;;;;;;;;;;;;
688;;[];;;;;;;;;;;;;;;
689;;[];;;;;;;;;;;;;;;
690;;[];;;;;;;;;;;;;;;
691;;[];;;;;;;;;;;;;;;
692;;[];;;;;;;;;;;;;;;
693;;[];;;;;;;;;;;;;;;
694;;[];;;;PVM1;;;;;15:00-20:00(R);09:30-14:00(R);;10:00-14:00(R);14:00-17:00(R);;15:00-18:00(R)
695;2023-10-05 00:00:00;[];;;;;;;;;;;;;;;
696;;[];;;;;;;;;;;;;;;
697;;[];;;GASTRO ENTÉRO;PVM1;;;;;;;;;;;
698;;[];;;;;;;;;;;;;;;
699;;[];;;;;;;;;;;;;;;
700;;[];;;;;;;;;;;;;;;
701;;[];;;;;;;;;;;;;;;
702;;[];;;;;;;;;;;;;;;
703;;[];;;;;;;;;;;;;;;
704;;[];;;;;;;;;;;;;;;
705;;[];;;GASTRO ENTÉRO;;;;;;;;;;;;
706;;[];;;EXPLOR. FONCTION. DIGEST. ALIM;;;;;;;;;;;;
707;;[];;;;;;;;;;;;;;;
708;;[];;;;;;;;;;;;;;;
709;;[];;;;;;;;;;;;;;;
710;2024-02-15 15:30:00;[Timestamp('2024-02-15 15:30:00')];;;;;;;;;;;;;;;
711;;[];;;;PVM1;;;;;;;;;;;
712;2024-02-22 09:30:00;[Timestamp('2024-02-22 09:30:00')];;;;;;;;;;;;;;;
713;;[];;;;;;09:00-13:00(R);;09:00-14:00(R);14:00-19:00(R);;;09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-18:00(R)
714;;[];;;;PVM1;;;;;;;;;;;
715;;[];;;;;;;;;;;;;;;
716;;[];;;;;;;;;;;;;;;
717;2023-10-10 15:30:00;[Timestamp('2023-10-10 15:30:00')];;;;;;;;;;;;;;;
718;;[];;;;;;09:30-12:30(R);;09:30-12:30(R);;;14:00-19:00(R);09:30-12:30(R);14:00-18:30(R);09:30-12:30(R);14:00-18:30(R)
719;2023-07-03 09:00:00;[Timestamp('2023-07-03 09:00:00')];;RDV;;PVM1/NV22;;;;;;;;;;;
720;;[];;;;;;;;;;;;;;;
721;;[];;;;;;;;;;;;;;;
722;;[];;;;PVM1;;;;;;;;;;;
723;2024-01-05 14:30:00;[Timestamp('2024-01-05 14:30:00')];True;;;OUI;;;;;;;;;;;
724;;[];;;;;;;;;;;;;;;
725;;[];;;;;;;;;;;;;;;
726;;[];;;;PVM1;;;;;;;;;;;
727;;[];;;;PVM1;;;;;;;;;;;
728;;[];;;;;;;;;;;;;;;
729;2024-02-29 10:30:00;[Timestamp('2024-02-29 10:30:00')];;;;;;;;;;;;;;;
730;;[];;;;;;;;;;;;;;;
731;;[];;;;PVM1;;;;;;;;;;;
732;;[];;;;;;;;;;;;;;;
733;;[];;;;PVM1;;;;;;;;;;;
734;;[];;;;;;;;;18:00-19:30(R);;16:00-19:30(R);08:00-11:30(R);;10:00-13:30(R);
735;;[];;;;;;;;;;;;;;;
736;;[];;;;;;;;;;;;;;;
737;;[];;;;;;;;;;;;;;;
738;2023-11-09 12:00:00;[Timestamp('2023-11-09 12:00:00')];;;;PVM1;;;;;;;;;;;
739;2023-07-12 00:00:00;[];;;;PVM1;;;;;;;;;;;
740;;[];;;;;;;;;;;;;;;
741;;[];;;NÉONAT;;;;;;;;;;;;
742;;[];;;;;;;;;;;;;;;
743;;[];;;;PVM1;;;;;;;;;;;
744;;[];;;;;;;;;;;;;;;
745;;[];;;;;;;;;;;;;;;
746;2023-11-16 09:30:00;[Timestamp('2023-11-16 09:30:00')];;;;;;;;;;;;;14:00-19:00(R);;
747;;[];;;;;;;;;;;;;;;
748;;[];;;;;;;;;;;;;;;
749;;[];;;;;;;;;;;;;;;
750;2023-12-20 11:30:00;[Timestamp('2023-12-20 11:30:00'), Timestamp('2023-08-30 11:00:00')];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-18:00(R)
751;;[];;;;PVM1;;08:30-14:00(R);14:00-18:20(R);08:30-14:00(R);14:00-18:20(R);08:30-14:00(R);14:00-18:20(R);08:30-14:00(R);14:00-18:20(R);08:30-14:00(R);14:00-18:20(R)
752;;[];;;;PVM1;;;;;;;;;;;
753;2024-01-19 09:00:00;[Timestamp('2024-01-19 09:00:00'), Timestamp('2023-09-29 08:00:00'), Timestamp('2023-06-29 10:30:00')];True;;;OUI;;09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-18:00(R);09:30-14:00(R);14:00-18:00(R);09:30-13:00(R);14:00-18:00(R)
754;;[];True;RDV;via DOCTOLIB;OUI;;;;;;;;;;; 
755;;[];;;;;;;;;;;;;;;
756;;[];;;;;;;;;;;;;;;
757;;[];;;;;;;;;;;;;;;
758;;[];;;;PVM1;;;;;;;;;;;
759;;[];;;;;;;;;;;;;;;
760;;[];;;;;;;;;;;;;;;
761;2023-11-03 14:30:00;[Timestamp('2023-11-03 14:30:00')];;;;PVM1;;;;;;;;;;;
762;;[];;;;;;;;;;;;;;;
763;2023-11-16 13:30:00;[Timestamp('2023-11-16 13:30:00')];;;;;;;;;;;;;;;
764;;[];;;;;;;;;;;;;;;
765;;[];;;;;;;;;;;;;;;
766;;[];;;;;;;;;;;;;;;
767;2024-01-16 19:00:00;[Timestamp('2024-01-16 19:00:00')];;RDV;via MAIL;OUI;;;;;;;;;;;
768;;[];;;;;;;;;;;;;;;
769;;[];;;;PVM1;;;;;;;;;;;
770;2023-11-15 09:30:00;[Timestamp('2023-11-15 09:30:00')];;;;;;;;;;;;;;;
771;;[];;;;PVM1;;;;;;;;;;;
772;;[];;;;;;;;;;;;;;;
773;;[];;;;;;;;;;;;;;;
774;;[];;;;;;;;;;;;;;;
775;;[];;;;;;;;;;;;;;;
776;;[];;;;;;;;;;;;;;;
777;;[];;;;;;;;;;;;;;;
778;2023-12-15 15:00:00;[Timestamp('2023-12-15 15:00:00')];;;;PVM1;;;;;;;;;;;
779;;[];;;;PVM1;;;;;;;;;;;
780;;[];;NRP;;NON;NE RECOIT PAS LES LABOS;;;;;;;;;;
781;2023-11-21 10:00:00;[Timestamp('2023-11-21 10:00:00')];;;;;ESTHÉTIQUE;;;;;;;;;;
782;;[];;;;;;;;;;;;;;;
783;2023-10-19 15:00:00;[Timestamp('2023-10-19 15:00:00')];;;;PVM1;;;;;;;;;;;
784;;[];;;;PVM1;;;;;;;;;;;
785;;[];;;;;;;;;;;;;;;
786;;[];;;ESTHETIQUE;PVM1;;;;;;;;;;;
787;;[];;;;;;;;;;;;;;;
788;;[];;;;;;;;;;;;;;;
789;;[];;;;;;;;;;;;;;;
790;;[];;;;PVM1;;;;;;;;;;;
791;;[];;;;;;;;;;;;;;;
792;;[];;;;;;;;;;;;;;;
793;;[];;;;;;;14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);10:00-14:00(R);14:00-20:00(R);09:00-13:30(R);;09:00-14:00(R);14:00-19:00(R)
794;;[];;;;;;08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R);08:00-14:00(R);14:00-19:00(R)
795;;[];;?;;?;;;;;;;;;;;
796;;[];;;;;;;;;;;;;;;
797;;[];;;ESTHETIQUE;;;;;;;;;;;;
798;;[];;?;;?;;;;;;;;;;;
799;;[];;;;;;;;;;;;;;;
800;;[];;;;PVM1;;;;;;;;;;;
801;;[];;;;PVM1;;;;;;;;;;;
802;;[];;;;PVM1;;;;;;;;;;;
803;;[];;NRP;PAS INTÉRESSÉ;PVM1;;;;;;;;;;;
804;2023-10-12 10:00:00;[Timestamp('2023-10-12 10:00:00')];True;RDV;SUR PLACE;OUI;;;;;;;;;;;
805;;[];;NRP;;;;;;;;;;;;;
806;2024-01-03 15:30:00;[Timestamp('2024-01-03 15:30:00')];True;;;OUI;;;;;;;;;;;
807;;[];;NRP;;PVM1;;;;;;;;;;;
808;;[];;;;;;;;;;;;;;;
809;;[];;;;PVM1;;09:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-18:30(R);"09:00-13:45(D)
13:45-14:00(R)";14:00-18:30(R);09:00-14:00(R);14:00-18:30(R);09:00-14:00(R);14:00-18:30(R)
