id;ddv;ddvs;rdv;mode;com;rec;motif;lun_m;lun_a;mar_m;mar_a;mer_m;mer_a;jeu_m;jeu_a;ven_m;ven_a
48;2024-01-11 14:30:00;[Timestamp('2024-01-11 14:30:00'), Timestamp('2023-09-18 11:30:00')];True;RDV;;OUI;;09:00-12:00(D);15:30-19:00(R);09:00-12:00(D);15:30-19:00(R);09:00-12:00(D);15:30-19:00(R);09:00-12:00(D);15:30-19:00(R);09:00-12:00(D);15:30-19:00(R)
49;2023-10-18 11:30:00;[Timestamp('2023-10-18 11:30:00')];;;;;;09:45-14:00(R);14:00-19:30(R);09:45-14:00(R);14:00-19:30(R);09:45-14:00(R);14:00-19:30(R);09:45-14:00(R);14:00-19:30(R);09:30-14:00(R);14:00-15:00(R)
50;2023-07-21 14:00:00;[Timestamp('2023-07-21 14:00:00')];True;L;1ER 3E MERCREDI;OUI;;08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R);"12:00:00
08:30-14:00(R)";14:00-18:00(R);08:30-14:00(R);14:00-18:00(R);08:30-14:00(R);14:00-18:00(R)
51;;[];;RDV;;;;08:15-14:00(R);14:00-18:30(R);13:30-14:00(R);14:00-18:30(R);13:45-14:00(R);14:00-18:30(R);13:30-14:00(R);14:00-18:30(R);08:15-14:00(R);14:00-18:30(R)
52;2024-02-20 12:30:00;[Timestamp('2024-02-20 12:30:00'), Timestamp('2023-11-07 09:30:00')];;;;;;;;;;;;;;;
53;;[];True;RDV;;OUI;;;;;;;;;;;
54;2023-09-11 16:00:00;[Timestamp('2023-09-11 16:00:00'), Timestamp('2023-07-10 15:30:00')];True;L;;OUI;;;0.541666666666667;;0.541666666666667;;;;;;
55;2024-01-25 16:00:00;[Timestamp('2024-01-25 16:00:00'), Timestamp('2023-10-19 10:00:00'), Timestamp('2023-07-11 10:00:00')];True;L;2 VM MAX;OUI;;10:00:00;;10:00:00;;0.416666666666667;;0.416666666666667;;;
56;;[];;;;;;;;;;;;;;;
57;;[];;;;;;;;;;;;;;;
58;2023-12-07 15:30:00;[Timestamp('2023-12-07 15:30:00')];;;;;;;;;;;;;;;
59;;[];;HC;ONCO/RADIOTHÉRAPIE;;;;;;;;;;;;
60;;[];;;;;;09:00-12:25(R);14:00-19:30(R);09:00-12:25(R);14:00-19:30(R);09:00-12:25(D);14:00-18:00(R);09:00-12:25(R);14:00-19:30(R);09:00-12:25(R);14:00-19:30(R)
61;2023-09-15 16:45:00;[Timestamp('2023-09-15 16:45:00')];;;;;;;;;;;;;;;
62;;[];;;;;;;;;;;;;;;
63;;[];;;;;;;;;;;;;;;
64;2023-10-23 10:00:00;[Timestamp('2023-10-23 10:00:00')];;;;;;10:00-14:00(R);14:00-18:00(R);10:30-14:00(R);14:00-15:00(R);10:30-14:00(R);14:00-19:00(R);10:30-13:30(R);;10:00-14:00(R);14:00-17:00(R)
65;2024-02-07 14:00:00;[Timestamp('2024-02-07 14:00:00'), Timestamp('2023-12-22 14:00:00'), Timestamp('2023-09-01 09:00:00')];;;;;;;;;;;;;;;
66;2023-12-06 15:30:00;[Timestamp('2023-12-06 15:30:00')];;;;;;09:00-14:00(R);"15:00-17:00(D)
14:00-15:00(R)";11:00-14:00(D);15:00-20:00(R);11:00-14:00(D);15:00-20:00(R);09:00-14:00(R);"15:00-17:00(D)
14:00-15:00(R)";09:00-14:00(R);14:00-20:00(R)
67;;[];;HC;;;;;;;;;;;;;
68;;[];;;;;;;;;;;;;;;
69;2023-12-06 13:30:00;[Timestamp('2023-12-06 13:30:00')];;;;;;;;;;;;;;;
70;;[];;;;;;;;;;;;;;;
71;;[];;;;;;;;;;;;;;;
72;;[];;;;;;;;;;;;;;;
73;;[];;HC;ACU ++;;;;;;;;;;;;
74;2024-01-12 10:00:00;[Timestamp('2024-01-12 10:00:00'), Timestamp('2023-09-27 11:45:00')];True;;;OUI;;;;;;;;;;;
75;2023-10-20 09:30:00;[Timestamp('2023-10-20 09:30:00')];;;;;;;;;;;;;;;
76;;[];;;;;;09:30-14:00(R);14:00-18:45(R);09:30-14:00(R);14:00-18:45(R);09:30-12:30(?);;09:30-14:00(?);14:00-18:45(?);09:30-14:00(R);14:00-18:45(R)
77;2024-01-05 12:30:00;[Timestamp('2024-01-05 12:30:00')];True;;;OUI;;;14:00-19:00(R);;14:00-19:00(R);;14:00-19:00(R);;14:00-19:00(R);;
78;;[];;;;;;08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R);08:30-14:00(R);14:00-18:30(R)
79;;[];;;;;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-15:00(R)
80;;[];;;;;;;;;;;;;;;
81;;[];;;;PVM1;;;;;;;;;;;
82;;[];;;;;;;;;;;;;;;
83;;[];;;;;;"09:30-12:30(R)
13:30-14:00(R)";14:00-19:00(R);"11:00-12:30(D)
09:30-11:00(R)
13:30-14:00(R)";14:00-19:00(R);"11:00-12:30(D)
09:30-11:00(R)
13:30-14:00(R)";14:00-19:00(R);"11:00-12:30(D)
09:30-11:00(R)
13:30-14:00(R)";14:00-19:00(R);"09:30-12:30(R)
13:30-14:00(R)";14:00-16:00(R)
84;;[];;;;;;09:00-14:00(R);14:00-19:30(R);09:00-14:00(R);14:00-19:30(R);09:00-14:00(R);14:00-19:30(R);09:00-14:00(R);14:00-19:30(R);09:00-14:00(R);14:00-19:30(R)
85;2024-01-30 10:00:00;[Timestamp('2024-01-30 10:00:00'), Timestamp('2023-07-05 09:00:00')];;;;;;;;;;;;;;;
86;2023-09-29 09:45:00;[Timestamp('2023-09-29 09:45:00')];;RDV;;;;;;;;;;;;;
87;2023-10-20 13:00:00;[Timestamp('2023-10-20 13:00:00')];;;;;;08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R);08:00-14:00(R);14:00-19:30(R)
88;;[];;;;PVM1;;;;;;;;;;;
89;2023-12-21 14:30:00;[Timestamp('2023-12-21 14:30:00'), Timestamp('2023-08-31 14:00:00')];;;;;;;;;;;;;;;
90;2024-02-07 11:30:00;[Timestamp('2024-02-07 11:30:00'), Timestamp('2023-07-12 09:00:00')];;;;;;09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-20:00(R);09:00-14:00(R);14:00-19:00(R)
91;2024-01-18 13:00:00;[Timestamp('2024-01-18 13:00:00'), Timestamp('2023-11-22 09:00:00')];True;L;;OUI;;08:00-11:30;13:00-16:30;08:00-11:30;13:00-16:30;08:00-11:30;13:00-16:30;08:00-10:30;13:00-16:30;08:00-11:30;13:00-16:30
92;;[];;;;;;;;;;;;;;; 
93;2024-01-29 11:30:00;[Timestamp('2024-01-29 11:30:00'), Timestamp('2023-07-26 11:00:00')];;;;;;;;;;;;;;;
94;2023-07-07 11:00:00;[Timestamp('2023-07-07 11:00:00')];;RDV;;OUI;;;;;;;;;;;
95;;[];;;;;;;;;;;;;;;
96;;[];;;;;;;;;;;;;;;
97;;[];;;;;;;;;;;;;;;
98;2023-10-09 09:30:00;[Timestamp('2023-10-09 09:30:00')];;;;;;;;09:00-14:00(R);14:00-18:00(R);09:00-14:00(R);14:00-18:00(R);;;09:00-14:00(?);14:00-18:00(?)
99;;[];;;;;;;;;;;;;;;
100;2024-01-09 14:00:00;[Timestamp('2024-01-09 14:00:00')];True;RDV;;OUI;;;14:30-18:30(R);09:00-13:00(R);;;14:00-18:30(R);;14:30-19:00(R);09:30-13:00(R);
101;2023-09-15 11:25:00;[Timestamp('2023-09-15 11:25:00')];;;;;;;;;;;;;;;
102;;[];;;;PVM1;;;;;;;;;;;
103;;[];True;RDV;;OUI;;09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R);09:00-14:00(R);14:00-19:00(R)
104;2024-02-06 10:30:00;[Timestamp('2024-02-06 10:30:00')];True;RDV;;OUI;;;;;;;;;;;
105;2024-02-21 15:30:00;[Timestamp('2024-02-21 15:30:00'), Timestamp('2024-02-07 15:30:00'), Timestamp('2023-12-01 10:30:00'), Timestamp('2023-11-07 16:30:00')];;;;;;;;;;;;;;;
106;2023-07-18 14:30:00;[Timestamp('2023-07-18 14:30:00')];;HC;NRP;;;09:00-14:00(R);14:00-19:20(R);09:00-14:00(R);14:00-19:20(R);09:00-12:30(R);17:00-19:00(R);10:20-13:20(R);15:00-19:30(R);09:00-14:00(R);14:00-19:20(R)
107;2023-07-05 00:00:00;[];;;;;;;;;;;;;;;
108;2024-01-25 13:00:00;[Timestamp('2024-01-25 13:00:00')];True;L;;OUI;;;"13:45:00
14:00-20:00(R)";;14:00-20:00(R);;"13:45:00
14:00-20:00(R)";;14:00-20:00(R);;14:00-19:00(R)
109;2024-02-27 10:00:00;[Timestamp('2024-02-27 10:00:00'), Timestamp('2023-07-10 09:00:00')];;;;;;"10:00-11:00(D)
11:00-14:00(R)";14:00-20:00(R);11:00-14:00(R);14:00-20:00(R);;;11:00-14:00(?);14:00-20:00(?);"10:00-11:00(D)
11:00-14:00(?)";14:00-20:00(?)
110;;[];;;;;;;;;;;;;;;
111;;[];;;;;;;;;;;;;;;
112;2024-02-27 12:00:00;[Timestamp('2024-02-27 12:00:00'), Timestamp('2023-09-25 13:00:00'), Timestamp('2023-07-05 14:00:00')];;RDV;;OUI;;;15:00-20:30(?);;;;;09:40-14:00(?);14:00-20:30(?);09:40-14:00(?);14:00-20:30(?)
113;;[];;HC;NPAI;;;;;;;;;;;;
114;2023-07-05 00:00:00;[];;;;;;;;;;;;;;;
115;;[];;;APP AM;;;;;;;;;;;;
116;;[];;;;;;07:45-14:00(R);14:00-20:00(R);07:45-14:00(R);14:00-20:00(R);07:45-14:00(R);14:00-20:00(R);07:45-14:00(R);14:00-20:00(R);07:45-12:30(R);
